,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms"
,ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
146,30206,"$1,080","$1,110","$1,250","$1,520","$1,860"
147,30212,"$1,010","$1,040","$1,170","$1,420","$1,740"
148,30213,"$1,380","$1,410","$1,590","$1,940","$2,360"
149,30214,"$1,430","$1,460","$1,650","$2,010","$2,450"
150,30215,"$1,480","$1,510","$1,710","$2,080","$2,540"
151,30217,$790,$810,$910,"$1,110","$1,350"
152,30220,"$1,150","$1,180","$1,380","$1,710","$2,010"
153,30223,$990,"$1,010","$1,140","$1,390","$1,690"
154,30224,"$1,080","$1,100","$1,250","$1,520","$1,850"
155,30228,"$1,330","$1,360","$1,540","$1,870","$2,290"
156,30229,"$1,260","$1,290","$1,460","$1,780","$2,170"
157,30230,$900,$920,"$1,080","$1,340","$1,570"
158,30233,$830,$850,"$1,090","$1,410","$1,620"
159,30234,$990,"$1,000","$1,290","$1,690","$1,920"
160,30236,"$1,140","$1,170","$1,320","$1,610","$1,960"
161,30237,"$1,140","$1,170","$1,320","$1,610","$1,960"
162,30238,"$1,180","$1,200","$1,360","$1,660","$2,020"
163,30240,$810,$830,$940,"$1,140","$1,400"
164,30248,"$1,410","$1,440","$1,630","$1,980","$2,420"
165,30250,"$1,330","$1,360","$1,540","$1,870","$2,290"
166,30252,"$1,530","$1,570","$1,770","$2,150","$2,630"
167,30253,"$1,310","$1,340","$1,510","$1,840","$2,240"
168,30256,$730,$740,$840,"$1,020","$1,250"
169,30257,$770,$780,"$1,020","$1,340","$1,380"
170,30258,"$1,150","$1,180","$1,330","$1,620","$1,980"
171,30259,"$1,160","$1,190","$1,340","$1,630","$1,990"
172,30260,"$1,180","$1,200","$1,360","$1,660","$2,020"
173,30263,"$1,140","$1,170","$1,320","$1,610","$1,960"
174,30264,"$1,260","$1,290","$1,460","$1,780","$2,170"
175,30265,"$1,540","$1,580","$1,780","$2,170","$2,650"
176,30266,"$1,010","$1,040","$1,170","$1,420","$1,740"
177,30268,"$1,100","$1,120","$1,270","$1,550","$1,890"
178,30269,"$1,650","$1,690","$1,910","$2,320","$2,840"
179,30271,"$1,260","$1,290","$1,460","$1,780","$2,170"
180,30272,"$1,410","$1,440","$1,630","$1,980","$2,420"
181,30273,"$1,340","$1,370","$1,550","$1,890","$2,300"
182,30274,"$1,140","$1,170","$1,320","$1,610","$1,960"
183,30275,"$1,140","$1,170","$1,320","$1,610","$1,960"
184,30276,"$1,280","$1,310","$1,480","$1,800","$2,190"
185,30277,"$1,460","$1,500","$1,690","$2,060","$2,510"
186,30281,"$1,370","$1,400","$1,580","$1,920","$2,350"
187,30284,"$1,230","$1,260","$1,430","$1,730","$2,120"
188,30285,$710,$720,$880,"$1,120","$1,250"
189,30287,"$1,140","$1,170","$1,320","$1,610","$1,960"
190,30288,"$1,010","$1,040","$1,170","$1,420","$1,740"
191,30289,"$1,350","$1,390","$1,560","$1,900","$2,320"
192,30290,"$1,180","$1,200","$1,360","$1,660","$2,020"
193,30291,"$1,130","$1,150","$1,300","$1,580","$1,930"
194,30292,$900,$920,"$1,040","$1,270","$1,550"
195,30294,"$1,390","$1,420","$1,600","$1,950","$2,380"
196,30295,$910,$930,"$1,050","$1,280","$1,560"
197,30296,"$1,350","$1,380","$1,560","$1,900","$2,320"
198,30297,"$1,020","$1,040","$1,180","$1,440","$1,750"
199,30298,"$1,140","$1,170","$1,320","$1,610","$1,960"
200,30301,"$1,410","$1,440","$1,630","$1,980","$2,420"
201,30302,"$1,410","$1,440","$1,630","$1,980","$2,420"
202,30303,"$1,600","$1,640","$1,850","$2,250","$2,750"
203,30304,"$1,410","$1,440","$1,630","$1,980","$2,420"
204,30305,"$1,860","$1,900","$2,150","$2,620","$3,200"
205,30306,"$1,870","$1,910","$2,160","$2,630","$3,210"
206,30307,"$1,650","$1,680","$1,900","$2,310","$2,820"
207,30308,"$2,020","$2,060","$2,330","$2,840","$3,460"
208,30309,"$2,020","$2,060","$2,330","$2,840","$3,460"
209,30310,"$1,170","$1,200","$1,350","$1,640","$2,010"
210,30311,"$1,030","$1,050","$1,190","$1,450","$1,770"
211,30312,"$1,530","$1,570","$1,770","$2,150","$2,630"
212,30313,"$1,270","$1,300","$1,470","$1,790","$2,180"
213,30314,"$1,030","$1,050","$1,190","$1,450","$1,770"
214,30315,"$1,030","$1,050","$1,190","$1,450","$1,770"
215,30316,"$1,410","$1,440","$1,630","$1,980","$2,420"
216,30317,"$1,270","$1,300","$1,470","$1,790","$2,180"
217,30318,"$1,350","$1,380","$1,560","$1,900","$2,320"
